"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","4","0","127","0","0"
"Регламентные работы","Создание регламентной работы","Тайм-слот","0","0","2","0","0"
"Регламентные работы","Создание регламентной работы","Регламентная работа","0","0","3","0","0"
"Регламентные работы","Создание регламентной работы","Регламент","0","0","2","0","0"
"Регламентные работы","Создание регламентной работы","Технологическая карта","0","0","2","0","0"
"Регламентные работы","Создание регламентной работы","Вид работы","0","0","2","0","0"
"Регламентные работы","Создание регламентной работы","Аутентификация","0","0","2","0","0"
